VESSEL_NAME,VESSEL_NO,DIRECTION,NUM_BARGES,ARRIVAL_DATE,TIMEZONE,MMSI,SOL_DATE,END_OF_LOCKAGE,Unnamed: 0,DELAY_MINS,SEQ_NO
REPOSE,1041355,U,6,10/29/23 11:00,CST,368286780,10/30/23 13:37,10/30/23 14:32,,,
SYDNEY ANN (TOW),1184206,U,2,10/29/23 10:54,CST,367114880,10/30/23 12:00,10/30/23 13:00,,,
REBOUND,0286204,D,6,10/29/23 10:45,CST,367306520,,,,,
KATHRYN T DEVALL (TOW 2013),1243632,U,1,10/29/23 10:28,CST,367597350,10/29/23 17:10,10/29/23 17:50,,,
SCOTT R WILSON (TOW),1114162,U,2,10/29/23 10:20,CST,366816020,10/30/23 04:28,10/30/23 05:30,,,
CAPT JIMMY WARREN (TOW 2016) ,1265940,U,2,10/29/23 10:17,CST,367704410,10/29/23 22:15,10/29/23 23:30,,,
SCF MARINE HWY,1250741,U,8,10/29/23 07:19,CST,368119120,10/30/23 07:00,10/30/23 07:49,,,
MISS RACHEL (TOW 65X24),1063182,D,1,10/29/23 07:04,CST,366995370,10/29/23 10:20,10/29/23 11:05,,,
CAPT ANDY LAKE (TOW),1239502,D,2,10/29/23 06:36,CST,367539810,,,,,
A.B. CENAC,1201765,U,1,10/29/23 06:32,CST,368238290,10/29/23 09:15,10/29/23 10:15,,,
KENNY BILLIOT (TOW 2013),1244012,U,1,10/29/23 04:51,CST,367556670,10/29/23 06:45,10/29/23 07:40,,,
RANDY ECKSTEIN (TOW 153X45),0539889,D,6,10/29/23 04:37,CST,365922894,10/31/23 06:10,10/31/23 07:05,,,
MISSION (TOW 84X32) 2012,1240072,D,2,10/29/23 03:00,CST,367533930,10/30/23 18:30,10/30/23 19:10,,,
MIKE MITCHELL,0624349,D,6,10/29/23 02:44,CST,368144320,10/30/23 17:09,10/30/23 17:59,,,
LAURA M,1315595,D,2,10/28/23 22:14,CST,368201570,10/30/23 11:02,10/30/23 11:56,,,
KENNY BILLIOT (TOW 2013),1244012,D,1,10/28/23 21:45,CST,367556670,10/28/23 23:35,10/29/23 01:14,,,
MICHELE GONSOULIN ( TOW ),1194788,D,2,10/28/23 20:43,CST,367303080,10/30/23 09:33,10/30/23 10:20,,,
GRAYSON,1256561,U,2,10/28/23 20:16,CST,368097590,10/29/23 19:25,10/29/23 20:24,,,
GOVERNOR MIKE HUCKABEE 80X30,1236450,D,2,10/28/23 19:44,CST,367508430,10/30/23 08:09,10/30/23 09:00,,,
DENNIS ROSS (TOW),0544705,D,3,10/28/23 19:06,CST,366936680,10/30/23 05:40,10/30/23 06:40,,,
PORT MANSFIELD,1262416,U,2,10/28/23 18:17,CST,368169060,10/29/23 17:15,10/29/23 18:00,,,
KAYLIN NICOLE (TOW 2016) 81X32,1271719,U,2,10/28/23 18:09,CST,367755650,10/30/23 01:40,10/30/23 03:08,,,
ACE G ,0629629,U,1,10/28/23 18:06,CST,367352250,10/28/23 19:51,10/28/23 20:58,,,
RIO GRANDE,1248275,D,2,10/28/23 17:36,CST,367585170,10/30/23 03:17,10/30/23 04:25,,,
BLANCO ( TOW 2011 ) 84X32,1235527,U,2,10/28/23 17:24,CST,367503060,10/29/23 13:45,10/29/23 14:25,,,
THREE RIVERS (TOW 2013) 78X34,1250092,D,2,10/28/23 16:47,CST,367595460,10/30/23 00:20,10/30/23 01:30,,,
LADY OF PERPETUAL HELP(TOW) ,1207724,U,6,10/28/23 10:46,CST,367328790,10/29/23 09:05,10/29/23 10:10,,,
DELACROIX,1256869,D,1,10/28/23 08:40,CST,368136920,10/28/23 16:15,10/28/23 17:25,,,
MISS PEYTON,0633411,U,6,10/28/23 06:53,CST,368028990,10/29/23 11:30,10/29/23 12:20,,,
KEVIN ALLEN ,1273624,U,2,10/28/23 06:38,CST,368151890,10/29/23 06:55,10/29/23 07:45,,,
MICHELLE GOLDING,1258033,D,2,10/28/23 04:55,CST,367652980,10/29/23 20:50,10/29/23 21:55,,,
ALICE (TOW),0289731,U,2,10/27/23 21:30,CST,,10/29/23 04:00,10/29/23 05:05,,,
HOUSTON FORET (TOW 1981) 57X24,0633661,D,1,10/27/23 21:26,CST,367588960,10/28/23 13:45,10/28/23 14:35,,,
SCF MARINE HWY,1250741,D,8,10/27/23 21:15,CST,368119120,10/29/23 18:13,10/29/23 19:14,,,
LUCY MAY,0614508,D,6,10/27/23 20:55,CST,367002580,10/29/23 14:45,10/29/23 15:30,,,
SCF CONTAINER EXPRESS ,1250819,D,8,10/27/23 20:40,CST,368119090,10/29/23 15:55,10/29/23 16:50,,,
MARK L DUPLANTIS,1209682,D,8,10/27/23 18:43,CST,367702060,10/29/23 12:30,10/29/23 13:30,,,
CAPTAIN ROY DANIELS,1316301,D,6,10/27/23 17:27,CST,368252420,10/29/23 10:30,10/29/23 11:15,,,
JOSSET   (TOW 56X23),1116940,D,3,10/27/23 15:30,CST,366841020,10/29/23 08:05,10/29/23 08:50,,,
JOCK  (TOW 2000)  86X30,1101550,D,2,10/27/23 15:16,CST,367003460,10/29/23 05:30,10/29/23 06:30,,,
ST. MATTHIAS,1273328,U,6,10/27/23 14:36,CST,367757270,10/29/23 01:28,10/29/23 02:35,,,
REBOUND,0286204,U,6,10/27/23 14:17,CST,367306520,10/28/23 22:15,10/28/23 23:16,,,
GALVESTON (TOW 76X35),1216091,D,2,10/27/23 14:04,CST,367381320,10/29/23 02:45,10/29/23 03:45,,,
PHILIP (TOW 1995),1033117,U,2,10/27/23 12:58,CST,367003780,10/28/23 20:00,10/28/23 21:05,,,
WOODY RICHERSON (TOW 2011),1235826,U,2,10/27/23 12:49,CST,367507070,10/28/23 17:40,10/28/23 18:50,,,
MIKE MITCHELL,0624349,U,6,10/27/23 12:23,CST,368144320,10/28/23 15:15,10/28/23 16:05,,,
LOUISE NEWELL,1293670,D,2,10/27/23 12:19,CST,368090850,10/29/23 00:05,10/29/23 01:20,,,
AMMIE  (TOW 2010)95X30,1225687,D,2,10/27/23 10:24,CST,367448570,10/28/23 21:08,10/28/23 22:05,,,
RICHARD  (TOW 2008),1212306,U,2,10/27/23 08:40,CST,367361740,10/28/23 12:45,10/28/23 13:30,,,
RESPONDER,0543900,D,6,10/27/23 04:21,CST,368286840,10/28/23 18:55,10/28/23 19:35,,,
J A WARD (TOW 2006),1206273,D,6,10/27/23 03:24,CST,367662530,10/28/23 16:25,10/28/23 17:30,,,
STEVE RICHOUX (TOW),0568988,D,6,10/27/23 03:02,CST,366998110,10/28/23 13:50,10/28/23 14:40,,,
CAJUN HUSTLER (TOW),0527969,U,0,10/31/23 07:04,CST,367428170.0,,,,,
CROSBY EXPRESS (TOW),1082131,D,6,10/31/23 05:54,CST,366769330.0,,,,,
JACK CENAC,1312482,D,1,10/31/23 04:42,CST,368285040.0,,,,,
CAJUN HUSTLER (TOW),0527969,D,1,10/31/23 04:40,CST,367428170.0,10/31/23 06:00,10/31/23 06:56,,,
LANEY BLESSEY WATKINS ( TOW),1251462,U,2,10/31/23 03:39,CST,367613760.0,,,,,
RICHARD TOLAR (85X30),1225115,U,2,10/31/23 02:15,CST,367439360.0,,,,,
LADY OF PERPETUAL HELP(TOW) ,1207724,D,6,10/31/23 01:48,CST,367328790.0,,,,,
SABINE (TOW 2012),1236712,D,2,10/31/23 00:01,CST,367509510.0,,,,,
INTRA RECOIL(TOW),0533346,U,2,10/30/23 23:08,CST,368193180.0,,,,,
CITATION (TOW),1217083,U,6,10/30/23 23:03,CST,368213040.0,,,,,
REPOSE,1041355,D,6,10/30/23 22:39,CST,368286780.0,,,,,
RALPH C,1292862,U,2,10/30/23 22:02,CST,368083470.0,,,,,
RENEE T WHATLEY (TOW),1194317,U,1,10/30/23 21:50,CST,367155550.0,,,,,
LUBBOCK,1260379,U,2,10/30/23 21:48,CST,368136890.0,,,,,
ASHLEY (TOW),0508924,U,1,10/30/23 21:22,CST,367633230.0,10/30/23 22:15,10/30/23 22:55,,,
ACE G ,0629629,U,2,10/30/23 21:05,CST,367352250.0,10/30/23 23:30,10/30/23 23:55,,,
MISS RACHEL (TOW),0632292,U,1,10/30/23 20:55,CST,366995560.0,10/30/23 22:05,10/30/23 22:50,,,
KARL SENNER ,1244550,D,2,10/30/23 20:19,CST,367570840.0,,,,,
PHILIP (TOW 1995),1033117,D,2,10/30/23 19:54,CST,367003780.0,,,,,
MISS RACHEL (TOW),0632292,D,0,10/30/23 19:34,CST,366995560.0,10/30/23 20:25,10/30/23 20:55,,,
ST PADRE PIO (TOW 74X28),1212045,D,6,10/30/23 19:07,CST,367362960.0,,,,,
MANNIE (TOW 2009),1217770,U,2,10/30/23 18:40,CST,367410990.0,,,,,
ASHLEY (TOW),0508924,D,1,10/30/23 18:23,CST,367633230.0,10/30/23 18:40,10/30/23 19:15,,,
INTEGRITY (TOW 2009),1223238,D,2,10/30/23 17:35,CST,367426950.0,,,,,
MARTHA T (TOW),1194629,U,6,10/30/23 15:06,CST,367156850.0,,,,,
CAPT DOUG WRIGHT,1202864,U,4,10/30/23 14:49,CST,367702240.0,,,,,
BAYLOR J TREGRE,1055480,U,1,10/30/23 14:19,CST,368316160.0,10/30/23 16:00,10/30/23 16:59,,,
MARIE (TOW),0639136,D,0,10/30/23 14:01,CST,,10/30/23 14:35,10/30/23 15:08,,,
JAMES S DAVISON (TOW 86X32) ,1211188,U,2,10/30/23 13:34,CST,367505050.0,,,,,
TERESA SPROUSE ,1330562,U,6,10/30/23 13:27,CST,368311730.0,,,,,
WILLIAM  (TOW 2009) 70X30,1222437,U,2,10/30/23 12:31,CST,367423260.0,,,,,
JERRY TOROK,1265746,D,2,10/30/23 12:05,CST,367703560.0,,,,,
PINTAIL (TOW 2009) 57X28,1225748,D,1,10/30/23 08:32,CST,367799330.0,10/30/23 10:40,10/30/23 11:43,,,
CAPT. TOMMY ANTHONY (TOW),1174691,D,1,10/30/23 06:15,CST,367087250.0,10/30/23 09:23,10/30/23 10:07,,,
CAPT DICKIE PAUL,0590056,D,1,10/30/23 06:00,CST,367003850.0,10/30/23 08:00,10/30/23 08:50,,,
JEFF KINDL (TOW 2016) 86X35,1266571,D,8,10/30/23 03:36,CST,367711840.0,,,,,
AVENGER,1244673,U,2,10/30/23 02:50,CST,367561870.0,,,,,
BOBBY JONES (TOW),0502672,U,3,10/30/23 02:42,CST,366919160.0,,,,,
HOUSTON FORET (TOW 1981) 57X24,0633661,U,2,10/30/23 02:41,CST,367588960.0,,,,,
FREEDOM,1249555,U,6,10/29/23 21:46,CST,367591950.0,,,,,
CROSBY EXPRESS,0521797,D,3,10/29/23 18:48,CST,368115150.0,10/29/23 23:40,10/30/23 01:21,,,
GOSIER,1242385,D,2,10/29/23 17:56,CST,368110410.0,,,,,
DANNY OCKMAN,0644041,U,6,10/29/23 17:21,CST,368103550.0,,,,,
KITTY (TOW 2000),1095430,D,2,10/29/23 17:08,CST,367003480.0,,,,,
G. I. JOE,0631012,U,1,10/29/23 16:47,CST,368202360.0,10/29/23 19:20,10/29/23 20:15,,,
KATIE GONSOULIN (TOW),1191866,D,2,10/29/23 16:29,CST,367145440.0,,,,,
ENTERPRISE,1247595,U,2,10/29/23 16:24,CST,367579920.0,10/31/23 05:20,10/31/23 05:55,,,
MISS KELLY (TOW 2009),1221425,U,2,10/29/23 16:18,CST,367427270.0,10/31/23 04:15,10/31/23 04:55,,,
ROBERT INGLE (TOW),0282986,D,2,10/29/23 16:17,CST,366821510.0,,,,,
AMERICAN SKILL,1271964,U,2,10/29/23 14:57,CST,367752120.0,10/31/23 03:05,10/31/23 03:50,,,
BORN AGAIN (TOW),0562776,U,5,10/29/23 14:53,CST,367712770.0,10/30/23 21:55,10/30/23 22:45,,,
JOSEPH F MORRISON (TOW),1211000,D,2,10/29/23 14:02,CST,367350190.0,,,,,
RITA (TOW),0544740,U,5,10/29/23 13:59,CST,366961280.0,10/31/23 01:25,10/31/23 02:00,,,
ST. MATTHIAS,1273328,D,6,10/29/23 13:50,CST,367757270.0,,,,,
RISEN SAVIOUR (TOW),1191228,U,6,10/29/23 13:47,CST,367444740.0,10/31/23 00:20,10/31/23 01:00,,,
TRUMP IT,0675384,U,6,10/29/23 13:43,CST,367710770.0,10/30/23 23:20,10/30/23 23:50,,,
HUD JOSEPH (TOW 60X24 ),0642513,D,1,10/29/23 12:28,CST,367378170.0,10/29/23 20:32,10/29/23 21:50,,,
SANDPIPER (TOW 2011) 34X78,1237330,U,1,10/29/23 12:23,CST,367512920.0,10/29/23 22:05,10/29/23 23:25,,,
LAFITTE,1242386,U,2,10/29/23 12:08,CST,367590270.0,10/30/23 21:00,10/30/23 21:35,,,
ALICE GOLDING,1253566,U,2,10/29/23 11:47,CST,367631610.0,10/30/23 19:40,10/30/23 20:20,,,
CAPT LANCE DRAGON ( TOW ),1195404,U,2,10/29/23 11:36,CST,367162270.0,10/30/23 15:20,10/30/23 16:47,,,
REPOSE,1041355,U,6,10/29/23 11:00,CST,368286780.0,10/30/23 13:37,10/30/23 14:32,,,
SYDNEY ANN (TOW),1184206,U,2,10/29/23 10:54,CST,367114880.0,10/30/23 12:00,10/30/23 13:00,,,
REBOUND,0286204,D,6,10/29/23 10:45,CST,367306520.0,,,,,
KATHRYN T DEVALL (TOW 2013),1243632,U,1,10/29/23 10:28,CST,367597350.0,10/29/23 17:10,10/29/23 17:50,,,
SCOTT R WILSON (TOW),1114162,U,2,10/29/23 10:20,CST,366816020.0,10/30/23 04:28,10/30/23 05:30,,,
CAPT JIMMY WARREN (TOW 2016) ,1265940,U,2,10/29/23 10:17,CST,367704410.0,10/29/23 22:15,10/29/23 23:30,,,
SCF MARINE HWY,1250741,U,8,10/29/23 07:19,CST,368119120.0,10/30/23 07:00,10/30/23 07:49,,,
MISS RACHEL (TOW 65X24),1063182,D,1,10/29/23 07:04,CST,366995370.0,10/29/23 10:20,10/29/23 11:05,,,
CAPT ANDY LAKE (TOW),1239502,D,2,10/29/23 06:36,CST,367539810.0,,,,,
A.B. CENAC,1201765,U,1,10/29/23 06:32,CST,368238290.0,10/29/23 09:15,10/29/23 10:15,,,
KENNY BILLIOT (TOW 2013),1244012,U,1,10/29/23 04:51,CST,367556670.0,10/29/23 06:45,10/29/23 07:40,,,
