VESSEL_NAME,VESSEL_NO,DIRECTION,NUM_BARGES,ARRIVAL_DATE,TIMEZONE,MMSI,SOL_DATE,END_OF_LOCKAGE,LOCK_NAME
ANNA MICHAEL,1243603,U,0,10/28/23 15:59,CST,367565110,10/28/23 16:21,10/28/23 16:43,Leland Bowman
MARTHA T (TOW),1194629,U,6,10/28/23 15:08,CST,367156850,10/28/23 17:21,10/28/23 17:53,Leland Bowman
BOBBY JONES (TOW),0502672,U,3,10/28/23 15:06,CST,366919160,10/28/23 16:49,10/28/23 17:15,Leland Bowman
TEE CENAC,1321259,D,1,10/28/23 15:03,CST,,10/28/23 15:05,10/28/23 15:35,Leland Bowman
MISS MICHELLE  (TOW),0607802,D,2,10/28/23 14:39,CST,366940860,10/28/23 14:47,10/28/23 15:30,Leland Bowman
ENTERPRISE,1247595,U,2,10/28/23 13:48,CST,367579920,10/28/23 14:15,10/28/23 14:43,Leland Bowman
FREEDOM (TOW),0287518,U,6,10/28/23 12:35,CST,367526590,10/28/23 16:00,10/28/23 16:40,Leland Bowman
THREE RIVERS (TOW 2013) 78X34,1250092,D,2,10/31/23 08:27,CST,367595460.0,,,Leland Bowman
TEE CENAC,1321259,U,1,10/31/23 08:23,CST,,,,Leland Bowman
HUD JOSEPH (TOW 60X24 ),642513,D,1,10/31/23 07:38,CST,367378170.0,,,Leland Bowman
ST CHARLES (TOW)76X35,1230767,U,3,10/31/23 07:10,CST,367473550.0,10/31/23 07:45,10/31/23 08:15,Leland Bowman
CAPT ANTHONY (TOW 2011),1232275,D,3,10/31/23 06:23,CST,367485290.0,10/31/23 06:50,10/31/23 07:20,Leland Bowman
TERRY H,1252433,U,2,10/31/23 03:14,CST,367614880.0,10/31/23 05:58,10/31/23 06:23,Leland Bowman
MARK L DUPLANTIS,1209682,D,8,10/31/23 01:10,CST,367702060.0,10/31/23 05:03,10/31/23 05:23,Leland Bowman
TIM SCOTT,1253090,D,2,10/31/23 01:08,CST,367618670.0,10/31/23 04:31,10/31/23 04:57,Leland Bowman
STEVE RICHOUX (TOW),568988,D,6,10/31/23 01:07,CST,366998110.0,10/31/23 04:01,10/31/23 04:27,Leland Bowman
JOSSET   (TOW 56X23),1116940,D,3,10/31/23 00:01,CST,366841020.0,10/31/23 03:33,10/31/23 03:52,Leland Bowman
J A WARD (TOW 2006),1206273,D,6,10/31/23 00:00,CST,367662530.0,10/31/23 02:57,10/31/23 03:21,Leland Bowman
TY DOLESE,1255918,D,2,10/30/23 23:30,CST,367650190.0,10/31/23 02:31,10/31/23 02:46,Leland Bowman
LESTER FULFER (TOW 2018),1278758,U,2,10/30/23 22:01,CST,368032120.0,10/31/23 01:01,10/31/23 01:26,Leland Bowman
GALVESTON (TOW 76X35),1216091,D,2,10/30/23 21:42,CST,367381320.0,10/31/23 01:51,10/31/23 02:13,Leland Bowman
DARIAN ALEXANDRA (TOW 2019),1269031,U,3,10/30/23 21:41,CST,368109530.0,10/31/23 00:28,10/31/23 00:48,Leland Bowman
SEA BULL (TOW 1979),610470,D,1,10/30/23 21:38,CST,367431640.0,10/30/23 23:28,10/30/23 23:42,Leland Bowman
LOUISE NEWELL,1293670,D,2,10/30/23 21:23,CST,368090850.0,10/30/23 23:02,10/30/23 23:23,Leland Bowman
GOSPEL LIGHT (TOW),570130,U,6,10/30/23 21:05,CST,367637070.0,10/30/23 22:05,10/30/23 22:29,Leland Bowman
LIV (TOW 2015) 72X30,1261486,U,6,10/30/23 20:35,CST,367682130.0,10/30/23 21:10,10/30/23 21:36,Leland Bowman
SAN ANTONIO (TOW 2011),1236027,U,2,10/30/23 18:37,CST,367507730.0,10/30/23 19:12,10/30/23 19:33,Leland Bowman
AMMIE  (TOW 2010)95X30,1225687,D,2,10/30/23 14:18,CST,367448570.0,10/30/23 15:45,10/30/23 16:17,Leland Bowman
TREY PAUL (TOW),567170,U,1,10/30/23 14:09,CST,367702730.0,10/30/23 14:50,10/30/23 15:25,Leland Bowman
KIMBERLY HIDALGO,1253551,U,1,10/30/23 13:55,CST,367627770.0,10/30/23 15:06,10/30/23 15:30,Leland Bowman
UNCLE JOE (TOW 1977) 53X22,582498,D,1,10/30/23 13:47,CST,368092790.0,10/30/23 14:00,10/30/23 14:20,Leland Bowman
CHARLIE C (TOW 2016) 84X34,1259981,U,2,10/30/23 12:48,CST,367751160.0,10/30/23 13:20,10/30/23 13:50,Leland Bowman
BILLY BURKETT ( TOW ),1198627,U,3,10/30/23 10:15,CST,367186340.0,10/30/23 10:52,10/30/23 11:20,Leland Bowman
ST. PETER,1259641,U,5,10/30/23 09:31,CST,367681480.0,10/30/23 10:26,10/30/23 10:43,Leland Bowman
JOHN PADGETT ELEVATOR (JU),647205,U,0,10/30/23 09:14,CST,,10/30/23 09:51,10/30/23 10:20,Leland Bowman
MS. ALICE,625971,U,0,10/30/23 09:05,CST,368264020.0,10/30/23 09:15,10/30/23 10:05,Leland Bowman
CAPT. GREGORY PETER (TOW),1033115,U,1,10/30/23 08:51,CST,367186840.0,10/30/23 09:41,10/30/23 10:15,Leland Bowman
MADELINE ( TOW 2008 ),1209145,U,2,10/30/23 08:41,CST,367350460.0,10/30/23 09:25,10/30/23 10:10,Leland Bowman
